t,fish_y,bar_y,vf_px_s,vb_px_s,pos_f,pos_b,vel_f,vel_b,action,prev_action,ui_h
38574.341,890.5,782.1,-31.4,0.0,0.878,0.699,-0.029,0.000,0,0,605
38574.406,890.5,752.1,-12.5,0.0,0.878,0.650,-0.011,0.000,0,0,605
38574.468,891.5,729.5,3.7,0.0,0.880,0.612,0.003,0.000,0,0,605
38574.534,892.5,720.4,13.2,0.0,0.882,0.597,0.012,0.000,0,0,605
38574.600,895.0,704.5,24.3,0.0,0.886,0.571,0.022,0.000,0,0,605
38574.661,898.3,700.9,41.1,0.0,0.891,0.565,0.038,0.000,0,0,605
38574.720,900.5,700.9,45.0,0.0,0.895,0.565,0.041,0.000,0,0,605
38574.784,901.1,681.6,27.2,0.0,0.896,0.533,0.025,0.000,0,0,605
38574.859,902.8,679.9,18.6,0.0,0.899,0.530,0.017,0.000,0,0,605
38574.918,906.8,685.0,37.0,0.0,0.905,0.539,0.034,0.000,0,0,605
38574.979,908.5,694.9,45.1,0.0,0.908,0.555,0.041,0.000,0,0,605
38575.034,910.7,710.2,36.1,0.0,0.912,0.581,0.033,0.000,0,0,605
38575.092,911.3,715.3,27.1,0.0,0.913,0.589,0.025,0.000,0,0,605
38575.153,906.2,733.4,-25.4,0.0,0.904,0.619,-0.023,0.000,0,0,605
38575.214,895.4,761.5,-109.7,0.0,0.887,0.665,-0.100,0.000,0,0,605
38575.272,882.3,761.5,-183.2,0.0,0.865,0.665,-0.167,0.000,0,0,605
38575.331,875.6,805.1,-172.0,0.0,0.854,0.737,-0.157,0.000,0,0,605
38575.391,871.6,807.1,-105.5,0.0,0.847,0.741,-0.096,0.000,0,0,605
38575.449,871.6,810.5,-48.1,0.0,0.847,0.746,-0.044,0.000,0,0,605
38575.505,872.2,810.5,-5.7,0.0,0.848,0.746,-0.005,0.000,0,0,605
38575.569,872.8,813.3,6.4,0.0,0.849,0.751,0.006,0.000,0,0,605
38575.625,872.2,812.4,1.5,0.0,0.848,0.749,0.001,0.000,0,0,605
38575.680,872.5,812.2,-1.8,0.0,0.849,0.749,-0.002,0.000,0,0,605
38575.734,871.6,815.0,-4.5,0.0,0.847,0.754,-0.004,0.000,0,0,605
38575.789,872.2,809.3,-3.0,0.0,0.848,0.744,-0.003,0.000,0,0,605
38575.844,871.6,809.3,-0.6,0.0,0.847,0.744,-0.001,0.000,0,0,605
38575.897,871.6,809.3,-0.2,0.0,0.847,0.744,-0.000,0.000,0,0,605
38575.953,871.6,809.3,-0.1,0.0,0.847,0.744,-0.000,0.000,0,0,605
38576.022,871.6,809.3,-0.0,0.0,0.847,0.744,-0.000,0.000,0,0,605
